OrderID , order_date,Customer_Key,Product_Key ,Rep,qty,unit_price ,net_amount
100001,2025-05-09,235,2,4,16,576.14,8757.33
100002,2025-11-21,295,4,23,5,4210.9,21054.5
100003,2024-12-23,124,10,14,6,4677.47,25258.34
100004,2025-01-08,35,9,18,17,2112.21,32316.81
100005,2023-02-11,200,8,2,13,8152.69,84787.98
100006,2023-02-03,183,2,12,8,576.14,4148.21
100007,2024-11-11,69,1,12,18,7004.72,126084.96
100008,2025-08-09,246,11,6,5,4866.69,24333.45
100009,2025-07-26,19,5,7,2,12606.96,22692.53
100010,2024-10-08,159,9,13,18,2112.21,36118.79
100011,2024-01-27,147,6,25,2,8457.66,14378.02
100012,2023-09-12,189,7,13,15,11044.9,140822.48
100013,2024-01-18,255,12,16,12,1192.37,12162.17
100014,2023-06-19,218,2,14,20,576.14,9218.24
100015,2024-08-24,165,2,3,11,576.14,5703.79
100016,2025-05-22,86,12,15,12,1192.37,13593.02
100017,2024-12-23,223,5,21,2,12606.96,25213.92
100018,2025-01-14,263,12,22,6,1192.37,5723.38
100019,2025-06-16,18,3,3,8,1648.77,11871.14
100020,2025-02-23,291,1,20,5,7004.72,31521.24
100021,2025-01-31,228,2,19,5,576.14,2736.67
100022,2024-07-24,128,2,1,6,576.14,3284.0
100023,2023-08-30,135,5,23,15,12606.96,189104.4
100024,2025-10-02,103,2,5,3,576.14,1642.0
100025,2025-06-30,45,11,11,12,4866.69,52560.25
100026,2024-08-17,154,3,23,6,1648.77,8903.36
100027,2023-09-06,103,3,8,16,1648.77,26380.32
100028,2025-01-25,240,9,5,20,2112.21,35907.57
100029,2025-03-26,246,9,14,14,2112.21,26613.85
100030,2024-10-11,38,8,15,17,8152.69,138595.73
100031,2024-01-08,67,7,17,2,11044.9,19880.82
100032,2024-09-14,85,3,11,8,1648.77,13190.16
100033,2024-08-04,41,5,7,18,12606.96,226925.28
100034,2025-12-28,48,9,21,6,2112.21,12039.6
100035,2023-12-17,173,10,2,1,4677.47,4677.47
100036,2024-06-26,108,10,14,20,4677.47,88871.93
100037,2024-08-16,155,8,8,13,8152.69,105984.97
100038,2023-05-03,81,8,14,16,8152.69,123920.89
100039,2023-10-22,161,12,11,12,1192.37,11446.75
100040,2025-01-28,264,9,4,11,2112.21,23234.31
100041,2025-07-09,127,3,4,2,1648.77,3297.54
100042,2025-05-06,128,3,11,19,1648.77,28193.97
100043,2023-11-23,256,9,15,16,2112.21,28726.06
100044,2023-07-04,202,9,15,8,2112.21,16897.68
100045,2023-04-14,145,8,20,16,8152.69,130443.04
100046,2023-08-09,221,3,9,12,1648.77,17806.72
100047,2025-03-31,27,10,18,7,4677.47,32742.29
100048,2025-03-02,259,8,25,18,8152.69,146748.42
100049,2023-09-01,66,2,13,12,576.14,6222.31
100050,2025-01-18,74,4,20,17,4210.9,68006.03
100051,2023-03-21,71,12,11,16,1192.37,18124.02
100052,2025-11-21,72,6,20,11,8457.66,93034.26
100053,2024-09-04,173,9,17,18,2112.21,36118.79
100054,2025-08-30,9,6,11,4,8457.66,27064.51
100055,2023-02-24,243,5,21,19,12606.96,227555.63
100056,2025-09-10,88,9,21,20,2112.21,38019.78
100057,2024-05-11,17,10,23,4,4677.47,18709.88
100058,2025-05-07,78,7,23,7,11044.9,73448.58
100059,2025-08-23,32,12,5,17,1192.37,20270.29
100060,2025-09-06,270,7,11,6,11044.9,62955.93
100061,2024-12-26,136,10,16,7,4677.47,26193.83
100062,2024-09-03,116,5,25,10,12606.96,113462.64
100063,2025-09-28,163,8,12,18,8152.69,124736.16
100064,2024-07-14,148,2,19,18,576.14,10370.52
100065,2024-12-07,75,5,2,10,12606.96,100855.68
100066,2025-06-24,132,12,16,7,1192.37,8346.59
100067,2024-07-10,71,2,20,19,576.14,10946.66
100068,2025-12-23,116,11,8,2,4866.69,9733.38
100069,2025-08-25,52,11,25,5,4866.69,24333.45
100070,2023-11-20,209,11,16,16,4866.69,70080.34
100071,2024-08-11,165,5,21,2,12606.96,21431.83
100072,2024-04-20,274,12,24,2,1192.37,2027.03
100073,2023-12-27,19,7,16,6,11044.9,56328.99
100074,2024-08-15,20,1,10,19,7004.72,126435.2
100075,2024-11-17,146,8,21,18,8152.69,139411.0
100076,2023-10-02,259,8,9,7,8152.69,51361.95
100077,2025-07-28,132,12,6,1,1192.37,1073.13
100078,2024-01-31,90,10,21,13,4677.47,54726.4
100079,2023-06-27,206,11,4,6,4866.69,23360.11
100080,2024-05-23,4,5,13,8,12606.96,95812.9
100081,2024-11-06,155,10,24,19,4677.47,88871.93
100082,2024-04-28,32,11,4,15,4866.69,73000.35
100083,2025-10-26,160,12,4,10,1192.37,11923.7
100084,2023-10-01,245,3,15,20,1648.77,32975.4
100085,2025-08-22,276,11,7,8,4866.69,35040.17
100086,2023-06-17,270,8,17,12,8152.69,97832.28
100087,2023-05-07,281,9,7,19,2112.21,38125.39
100088,2025-12-01,227,2,22,7,576.14,3629.68
100089,2025-11-11,229,1,15,5,7004.72,33272.42
100090,2023-04-29,287,8,22,10,8152.69,73374.21
100091,2023-01-07,112,10,3,2,4677.47,8887.19
100092,2023-05-04,36,8,2,10,8152.69,77450.56
100093,2025-05-10,192,7,15,13,11044.9,143583.7
100094,2023-09-30,179,2,6,18,576.14,10370.52
100095,2024-04-01,2,1,10,15,7004.72,94563.72
100096,2025-12-25,195,4,8,15,4210.9,63163.5
100097,2023-08-20,17,11,14,20,4866.69,87600.42
100098,2023-02-02,124,4,3,4,4210.9,16001.42
100099,2023-04-10,126,12,2,13,1192.37,14725.77
100100,2023-04-26,72,9,10,8,2112.21,15207.91
100101,2024-10-15,296,10,25,11,4677.47,51452.17
100102,2025-12-03,114,7,10,9,11044.9,99404.1
100103,2023-12-25,219,9,16,2,2112.21,3379.54
100104,2025-02-19,269,6,23,14,8457.66,112486.88
100105,2024-01-12,276,8,8,8,8152.69,65221.52
100106,2025-08-06,30,9,14,14,2112.21,28092.39
100107,2024-05-12,131,4,11,3,4210.9,10737.8
100108,2023-07-09,275,12,7,2,1192.37,2384.74
100109,2023-03-22,38,4,25,19,4210.9,72006.39
100110,2025-09-08,107,6,10,1,8457.66,8457.66
100111,2023-08-29,246,4,23,20,4210.9,75796.2
100112,2024-05-05,283,6,25,10,8457.66,84576.6
100113,2025-01-05,158,5,12,17,12606.96,182170.57
100114,2025-08-19,164,4,12,11,4210.9,44003.9
100115,2024-03-29,75,1,9,18,7004.72,107172.22
100116,2025-05-05,152,3,7,11,1648.77,18136.47
100117,2024-05-18,256,9,21,11,2112.21,23234.31
100118,2025-10-01,236,3,24,12,1648.77,19785.24
100119,2025-09-27,95,9,21,2,2112.21,4013.2
100120,2023-06-02,25,1,14,5,7004.72,31521.24
100121,2023-11-06,5,4,17,15,4210.9,63163.5
100122,2025-09-16,250,1,1,18,7004.72,119780.71
100123,2025-12-20,141,9,10,1,2112.21,2006.6
100124,2025-05-31,92,2,4,17,576.14,9794.38
100125,2025-12-14,130,6,9,13,8457.66,109949.58
100126,2025-07-29,290,4,23,8,4210.9,33687.2
100127,2023-06-15,17,2,13,13,576.14,7489.82
100128,2023-01-20,88,2,16,14,576.14,7662.66
100129,2023-07-15,271,1,8,7,7004.72,41678.08
100130,2025-08-31,139,1,3,9,7004.72,53586.11
100131,2023-03-09,92,6,1,7,8457.66,56243.44
100132,2025-03-26,40,5,6,19,12606.96,239532.24
100133,2025-03-07,277,6,13,5,8457.66,38059.47
100134,2023-06-10,257,12,12,2,1192.37,2384.74
100135,2023-06-05,175,10,25,20,4677.47,74839.52
100136,2024-10-30,16,11,9,15,4866.69,69350.33
100137,2025-02-07,222,3,22,19,1648.77,28193.97
100138,2024-08-27,127,12,3,3,1192.37,3577.11
100139,2023-11-12,200,6,12,4,8457.66,33830.64
100140,2025-06-29,185,5,4,5,12606.96,63034.8
100141,2025-11-15,209,2,1,3,576.14,1728.42
100142,2024-10-26,198,1,10,14,7004.72,98066.08
100143,2024-05-12,293,9,6,13,2112.21,27458.73
100144,2024-07-03,253,3,3,6,1648.77,9397.99
100145,2025-09-18,40,6,9,8,8457.66,60895.15
100146,2024-02-05,235,2,5,10,576.14,5761.4
100147,2025-02-17,169,8,11,14,8152.69,102723.89
100148,2023-10-06,154,6,20,7,8457.66,56243.44
100149,2025-03-26,164,5,24,16,12606.96,161369.09
100150,2024-10-29,193,5,13,12,12606.96,151283.52
100151,2024-01-04,282,1,24,15,7004.72,89310.18
100152,2024-08-19,36,7,22,16,11044.9,176718.4
100153,2024-06-01,79,12,14,13,1192.37,15500.81
100154,2025-09-08,299,7,18,17,11044.9,159598.81
100155,2025-05-06,279,1,12,18,7004.72,119780.71
100156,2023-08-12,128,11,22,12,4866.69,58400.28
100157,2025-03-29,170,7,4,1,11044.9,11044.9
100158,2025-11-28,286,10,23,19,4677.47,88871.93
100159,2025-08-06,257,3,12,1,1648.77,1566.33
100160,2023-06-25,60,12,5,12,1192.37,14308.44
100161,2024-02-28,267,8,12,16,8152.69,130443.04
100162,2025-07-15,164,2,10,2,576.14,1037.05
100163,2024-12-03,56,11,6,8,4866.69,36986.84
100164,2024-11-08,287,7,15,8,11044.9,79523.28
100165,2024-01-17,222,7,1,20,11044.9,187763.3
100166,2025-05-29,200,1,23,7,7004.72,49033.04
100167,2023-05-09,296,2,18,6,576.14,3456.84
100168,2023-08-22,135,11,16,17,4866.69,66186.98
100169,2025-03-06,201,10,4,12,4677.47,56129.64
100170,2023-12-20,153,10,19,3,4677.47,12629.17
100171,2024-05-03,157,2,6,12,576.14,6222.31
100172,2025-05-06,71,10,13,14,4677.47,65484.58
100173,2023-12-21,285,3,16,10,1648.77,16487.7
100174,2025-07-12,28,6,1,16,8457.66,135322.56
100175,2025-11-01,254,7,22,16,11044.9,167882.48
100176,2025-09-27,86,2,19,1,576.14,518.53
100177,2023-03-08,141,4,18,10,4210.9,42109.0
100178,2025-10-11,282,9,4,19,2112.21,40131.99
100179,2025-01-21,278,1,25,15,7004.72,99817.26
100180,2023-07-29,127,5,2,15,12606.96,189104.4
100181,2023-06-28,225,2,25,8,576.14,4609.12
100182,2024-12-19,220,3,20,5,1648.77,7419.46
100183,2023-05-02,292,6,18,9,8457.66,72312.99
100184,2024-08-22,149,10,9,17,4677.47,63613.59
100185,2023-07-15,70,7,2,9,11044.9,84493.49
100186,2023-09-29,128,3,23,11,1648.77,16322.82
100187,2025-03-15,251,3,19,9,1648.77,14096.98
100188,2023-06-04,48,7,17,9,11044.9,89463.69
100189,2025-07-20,250,6,19,1,8457.66,7189.01
100190,2023-07-10,235,11,22,12,4866.69,49640.24
100191,2025-03-25,112,7,7,16,11044.9,176718.4
100192,2024-11-22,281,10,5,19,4677.47,75541.14
100193,2023-04-10,24,2,21,15,576.14,8642.1
100194,2023-11-20,226,8,1,14,8152.69,114137.66
100195,2023-09-28,155,3,9,3,1648.77,4451.68
100196,2025-01-31,85,1,13,10,7004.72,63042.48
100197,2025-05-29,47,12,4,1,1192.37,1192.37
100198,2024-04-08,266,11,15,1,4866.69,4866.69
100199,2023-09-04,217,12,5,16,1192.37,19077.92
100200,2023-07-29,53,6,12,10,8457.66,84576.6
100201,2023-09-30,74,2,17,19,576.14,10946.66
100202,2025-06-20,180,12,7,5,1192.37,5067.57
100203,2025-06-25,112,2,4,5,576.14,2592.63
100204,2025-02-25,180,7,11,5,11044.9,55224.5
100205,2024-05-23,284,10,20,20,4677.47,93549.4
100206,2023-02-24,155,4,17,20,4210.9,80007.1
100207,2024-08-28,28,4,16,13,4210.9,54741.7
100208,2023-05-26,271,1,12,11,7004.72,77051.92
100209,2025-05-11,188,9,22,6,2112.21,11405.93
100210,2023-05-30,9,10,3,1,4677.47,4677.47
100211,2023-05-04,204,9,10,17,2112.21,32316.81
100212,2025-04-03,43,11,18,18,4866.69,83220.4
100213,2024-09-26,41,9,7,5,2112.21,10033.0
100214,2023-05-16,159,12,14,8,1192.37,9538.96
100215,2025-06-08,60,8,20,20,8152.69,163053.8
100216,2023-12-26,62,1,23,5,7004.72,31521.24
100217,2024-12-11,268,9,24,9,2112.21,19009.89
100218,2024-07-04,61,1,11,14,7004.72,98066.08
100219,2023-06-07,255,8,17,12,8152.69,97832.28
100220,2023-12-08,189,3,9,4,1648.77,5605.82
100221,2023-08-25,117,12,17,1,1192.37,1192.37
100222,2024-05-15,24,8,12,13,8152.69,90087.22
100223,2023-03-14,284,12,24,14,1192.37,16693.18
100224,2024-10-17,139,2,19,12,576.14,6913.68
100225,2023-04-18,92,4,17,2,4210.9,6737.44
100226,2025-08-10,145,5,11,3,12606.96,35929.84
100227,2024-02-15,150,10,10,20,4677.47,93549.4
100228,2025-10-07,101,12,18,8,1192.37,9538.96
100229,2023-02-18,120,9,12,1,2112.21,1689.77
100230,2025-02-09,158,2,7,17,576.14,7835.5
100231,2023-05-03,73,12,9,3,1192.37,3577.11
100232,2025-11-30,212,12,12,15,1192.37,14308.44
100233,2023-07-15,259,3,21,13,1648.77,21434.01
100234,2025-06-09,67,4,10,9,4210.9,32213.39
100235,2025-03-15,168,6,15,9,8457.66,76118.94
100236,2023-10-06,300,2,5,4,576.14,2304.56
100237,2025-04-12,62,9,12,7,2112.21,14046.2
100238,2023-09-03,47,3,22,10,1648.77,14838.93
100239,2023-03-24,111,6,5,3,8457.66,22835.68
100240,2025-03-22,263,1,22,10,7004.72,70047.2
100241,2023-03-05,208,8,18,18,8152.69,146748.42
100242,2023-10-14,63,1,2,8,7004.72,56037.76
100243,2025-02-01,44,10,19,9,4677.47,35782.65
100244,2023-05-13,102,11,15,5,4866.69,24333.45
100245,2024-11-10,63,1,15,2,7004.72,14009.44
100246,2025-03-19,255,1,13,14,7004.72,98066.08
100247,2024-01-19,141,5,15,5,12606.96,63034.8
100248,2024-05-18,152,8,14,18,8152.69,139411.0
100249,2025-02-23,71,7,7,17,11044.9,187763.3
100250,2023-02-09,196,12,12,16,1192.37,18124.02
100251,2025-10-25,165,7,9,6,11044.9,66269.4
100252,2023-03-02,144,1,16,17,7004.72,119080.24
100253,2024-04-21,82,2,8,8,576.14,4609.12
100254,2023-04-25,113,10,13,12,4677.47,47710.19
100255,2023-12-22,91,4,19,11,4210.9,41687.91
100256,2023-02-27,181,10,19,5,4677.47,22217.98
100257,2025-10-05,278,5,6,16,12606.96,201711.36
100258,2024-03-24,11,9,16,1,2112.21,2112.21
100259,2023-09-25,175,12,6,11,1192.37,13116.07
100260,2023-10-18,57,9,12,3,2112.21,6336.63
100261,2025-03-21,52,6,10,11,8457.66,93034.26
100262,2025-06-13,250,11,11,6,4866.69,26280.13
100263,2024-12-31,115,11,19,6,4866.69,29200.14
100264,2024-08-26,66,3,24,1,1648.77,1401.45
100265,2025-03-12,291,1,6,20,7004.72,140094.4
100266,2024-03-28,290,2,16,5,576.14,2880.7
100267,2024-12-11,164,3,21,3,1648.77,4451.68
100268,2024-11-18,229,1,9,7,7004.72,49033.04
100269,2024-06-09,56,12,1,2,1192.37,2384.74
100270,2023-12-07,212,8,13,12,8152.69,92940.67
100271,2025-09-08,296,11,25,8,4866.69,38933.52
100272,2023-03-10,151,1,11,9,7004.72,50433.98
100273,2023-12-15,193,3,24,3,1648.77,4698.99
100274,2023-07-10,174,10,20,16,4677.47,67355.57
100275,2023-12-04,223,3,2,4,1648.77,6595.08
100276,2025-04-18,284,12,24,18,1192.37,21462.66
100277,2024-05-01,50,1,13,19,7004.72,126435.2
100278,2023-04-22,185,1,14,3,7004.72,21014.16
100279,2025-09-10,103,2,1,7,576.14,4032.98
100280,2023-06-17,243,2,10,13,576.14,7115.33
100281,2024-06-26,47,11,18,13,4866.69,63266.97
