date_key,full_date,day_of_week,day_num_in_week,day_num_in_month,week_of_year,month_num,month_name,quarter,year,fiscal_year,is_weekend
20230101,2023-01-01,Sunday,7,1,52,1,January,Q1,2023,FY2022,True
20230102,2023-01-02,Monday,1,2,1,1,January,Q1,2023,FY2022,False
20230103,2023-01-03,Tuesday,2,3,1,1,January,Q1,2023,FY2022,False
20230104,2023-01-04,Wednesday,3,4,1,1,January,Q1,2023,FY2022,False
20230105,2023-01-05,Thursday,4,5,1,1,January,Q1,2023,FY2022,False
20230106,2023-01-06,Friday,5,6,1,1,January,Q1,2023,FY2022,False
20230107,2023-01-07,Saturday,6,7,1,1,January,Q1,2023,FY2022,True
20230108,2023-01-08,Sunday,7,8,1,1,January,Q1,2023,FY2022,True
20230109,2023-01-09,Monday,1,9,2,1,January,Q1,2023,FY2022,False
20230110,2023-01-10,Tuesday,2,10,2,1,January,Q1,2023,FY2022,False
20230111,2023-01-11,Wednesday,3,11,2,1,January,Q1,2023,FY2022,False
20230112,2023-01-12,Thursday,4,12,2,1,January,Q1,2023,FY2022,False
20230113,2023-01-13,Friday,5,13,2,1,January,Q1,2023,FY2022,False
20230114,2023-01-14,Saturday,6,14,2,1,January,Q1,2023,FY2022,True
20230115,2023-01-15,Sunday,7,15,2,1,January,Q1,2023,FY2022,True
20230116,2023-01-16,Monday,1,16,3,1,January,Q1,2023,FY2022,False
20230117,2023-01-17,Tuesday,2,17,3,1,January,Q1,2023,FY2022,False
20230118,2023-01-18,Wednesday,3,18,3,1,January,Q1,2023,FY2022,False
20230119,2023-01-19,Thursday,4,19,3,1,January,Q1,2023,FY2022,False
20230120,2023-01-20,Friday,5,20,3,1,January,Q1,2023,FY2022,False
20230121,2023-01-21,Saturday,6,21,3,1,January,Q1,2023,FY2022,True
20230122,2023-01-22,Sunday,7,22,3,1,January,Q1,2023,FY2022,True
20230123,2023-01-23,Monday,1,23,4,1,January,Q1,2023,FY2022,False
20230124,2023-01-24,Tuesday,2,24,4,1,January,Q1,2023,FY2022,False
20230125,2023-01-25,Wednesday,3,25,4,1,January,Q1,2023,FY2022,False
20230126,2023-01-26,Thursday,4,26,4,1,January,Q1,2023,FY2022,False
20230127,2023-01-27,Friday,5,27,4,1,January,Q1,2023,FY2022,False
20230128,2023-01-28,Saturday,6,28,4,1,January,Q1,2023,FY2022,True
20230129,2023-01-29,Sunday,7,29,4,1,January,Q1,2023,FY2022,True
20230130,2023-01-30,Monday,1,30,5,1,January,Q1,2023,FY2022,False
20230131,2023-01-31,Tuesday,2,31,5,1,January,Q1,2023,FY2022,False
20230201,2023-02-01,Wednesday,3,1,5,2,February,Q1,2023,FY2022,False
20230202,2023-02-02,Thursday,4,2,5,2,February,Q1,2023,FY2022,False
20230203,2023-02-03,Friday,5,3,5,2,February,Q1,2023,FY2022,False
20230204,2023-02-04,Saturday,6,4,5,2,February,Q1,2023,FY2022,True
