order_id,date_key,customer_key,product_key,sales_rep_key,region_key,quantity,unit_price,gross_amount,discount_amount,net_amount,cost_amount
100001,20250509,235,2,4,8,16,576.14,9218.24,460.91,8757.33,3093.85
100002,20251121,295,4,23,3,5,4210.9,21054.5,0.0,21054.5,7375.66
100003,20241223,124,10,14,10,6,4677.47,28064.82,2806.48,25258.34,9272.91
100004,20250108,35,9,18,5,17,2112.21,35907.57,3590.76,32316.81,14591.83
100005,20230211,200,8,2,5,13,8152.69,105984.97,21196.99,84787.98,33977.09
100006,20230203,183,2,12,5,8,576.14,4609.12,460.91,4148.21,1973.1
100007,20241111,69,1,12,4,18,7004.72,126084.96,0.0,126084.96,60339.11
100008,20250809,246,11,6,9,5,4866.69,24333.45,0.0,24333.45,12294.19
100009,20250726,19,5,7,1,2,12606.96,25213.92,2521.39,22692.53,11962.55
100010,20241008,159,9,13,4,18,2112.21,38019.78,1900.99,36118.79,12906.12
100011,20240127,147,6,25,10,2,8457.66,16915.32,2537.3,14378.02,5986.79
100012,20230912,189,7,13,1,15,11044.9,165673.5,24851.02,140822.48,60177.52
100013,20240118,255,12,16,3,12,1192.37,14308.44,2146.27,12162.17,5519.86
100014,20230619,218,2,14,2,20,576.14,11522.8,2304.56,9218.24,3559.08
100015,20240824,165,2,3,10,11,576.14,6337.54,633.75,5703.79,2345.96
100016,20250522,86,12,15,7,12,1192.37,14308.44,715.42,13593.02,6733.48
100017,20241223,223,5,21,10,2,12606.96,25213.92,0.0,25213.92,12039.71
100018,20250114,263,12,22,10,6,1192.37,7154.22,1430.84,5723.38,2166.62
100019,20250616,18,3,3,7,8,1648.77,13190.16,1319.02,11871.14,5024.65
100020,20250223,291,1,20,9,5,7004.72,35023.6,3502.36,31521.24,17014.05
100021,20250131,228,2,19,7,5,576.14,2880.7,144.03,2736.67,1175.69
100022,20240724,128,2,1,8,6,576.14,3456.84,172.84,3284.0,1403.57
100023,20230830,135,5,23,2,15,12606.96,189104.4,0.0,189104.4,89328.27
100024,20251002,103,2,5,10,3,576.14,1728.42,86.42,1642.0,869.83
100025,20250630,45,11,11,3,12,4866.69,58400.28,5840.03,52560.25,24177.69
100026,20240817,154,3,23,9,6,1648.77,9892.62,989.26,8903.36,4022.1
100027,20230906,103,3,8,10,16,1648.77,26380.32,0.0,26380.32,12156.16
100028,20250125,240,9,5,3,20,2112.21,42244.2,6336.63,35907.57,13039.82
100029,20250326,246,9,14,9,14,2112.21,29570.94,2957.09,26613.85,9707.41
100030,20241011,38,8,15,5,17,8152.69,138595.73,0.0,138595.73,72844.81
100031,20240108,67,7,17,1,2,11044.9,22089.8,2208.98,19880.82,9018.35
100032,20240914,85,3,11,4,8,1648.77,13190.16,0.0,13190.16,7098.69
100033,20240804,41,5,7,9,18,12606.96,226925.28,0.0,226925.28,107790.52
100034,20251228,48,9,21,5,6,2112.21,12673.26,633.66,12039.6,5612.01
100035,20231217,173,10,2,2,1,4677.47,4677.47,0.0,4677.47,2524.47
100036,20240626,108,10,14,8,20,4677.47,93549.4,4677.47,88871.93,39957.5
100037,20240816,155,8,8,10,13,8152.69,105984.97,0.0,105984.97,38641.55
100038,20230503,81,8,14,4,16,8152.69,130443.04,6522.15,123920.89,51803.7
100039,20231022,161,12,11,7,12,1192.37,14308.44,2861.69,11446.75,4305.73
100040,20250128,264,9,4,6,11,2112.21,23234.31,0.0,23234.31,8701.35
100041,20250709,127,3,4,8,2,1648.77,3297.54,0.0,3297.54,1407.49
100042,20250506,128,3,11,8,19,1648.77,31326.63,3132.66,28193.97,10938.32
100043,20231123,256,9,15,2,16,2112.21,33795.36,5069.3,28726.06,12911.62
100044,20230704,202,9,15,4,8,2112.21,16897.68,0.0,16897.68,7106.81
100045,20230414,145,8,20,8,16,8152.69,130443.04,0.0,130443.04,45868.4
100046,20230809,221,3,9,1,12,1648.77,19785.24,1978.52,17806.72,7535.58
100047,20250331,27,10,18,9,7,4677.47,32742.29,0.0,32742.29,13349.7
100048,20250302,259,8,25,2,18,8152.69,146748.42,0.0,146748.42,80391.45
100049,20230901,66,2,13,3,12,576.14,6913.68,691.37,6222.31,2599.79
100050,20250118,74,4,20,7,17,4210.9,71585.3,3579.27,68006.03,24349.63
100051,20230321,71,12,11,4,16,1192.37,19077.92,953.9,18124.02,6883.29
100052,20251121,72,6,20,1,11,8457.66,93034.26,0.0,93034.26,50994.23
100053,20240904,173,9,17,2,18,2112.21,38019.78,1900.99,36118.79,16708.01
100054,20250830,9,6,11,9,4,8457.66,33830.64,6766.13,27064.51,12632.1
100055,20230224,243,5,21,10,19,12606.96,239532.24,11976.61,227555.63,112476.2
100056,20250910,88,9,21,6,20,2112.21,42244.2,4224.42,38019.78,16197.87
100057,20240511,17,10,23,8,4,4677.47,18709.88,0.0,18709.88,8198.81
100058,20250507,78,7,23,8,7,11044.9,77314.3,3865.72,73448.58,37091.13
100059,20250823,32,12,5,4,17,1192.37,20270.29,0.0,20270.29,8412.37
100060,20250906,270,7,11,10,6,11044.9,66269.4,3313.47,62955.93,28747.28
100061,20241226,136,10,16,3,7,4677.47,32742.29,6548.46,26193.83,10629.49
100062,20240903,116,5,25,4,10,12606.96,126069.6,12606.96,113462.64,55375.21
100063,20250928,163,8,12,2,18,8152.69,146748.42,22012.26,124736.16,63500.82
100064,20240714,148,2,19,3,18,576.14,10370.52,0.0,10370.52,5662.64
100065,20241207,75,5,2,1,10,12606.96,126069.6,25213.92,100855.68,36893.6
100066,20250624,132,12,16,7,7,1192.37,8346.59,0.0,8346.59,3820.36
100067,20240710,71,2,20,4,19,576.14,10946.66,0.0,10946.66,3942.47
100068,20251223,116,11,8,4,2,4866.69,9733.38,0.0,9733.38,4049.66
100069,20250825,52,11,25,3,5,4866.69,24333.45,0.0,24333.45,11195.1
100070,20231120,209,11,16,9,16,4866.69,77867.04,7786.7,70080.34,35123.02
100071,20240811,165,5,21,10,2,12606.96,25213.92,3782.09,21431.83,7884.6
100072,20240420,274,12,24,3,2,1192.37,2384.74,357.71,2027.03,780.43
100073,20231227,19,7,16,1,6,11044.9,66269.4,9940.41,56328.99,30554.32
100074,20240815,20,1,10,6,19,7004.72,133089.68,6654.48,126435.2,67730.19
100075,20241117,146,8,21,6,18,8152.69,146748.42,7337.42,139411.0,73588.37
100076,20231002,259,8,9,2,7,8152.69,57068.83,5706.88,51361.95,21373.6
100077,20250728,132,12,6,7,1,1192.37,1192.37,119.24,1073.13,545.31
100078,20240131,90,10,21,8,13,4677.47,60807.11,6080.71,54726.4,24794.13
100079,20230627,206,11,4,3,6,4866.69,29200.14,5840.03,23360.11,10406.71
100080,20240523,4,5,13,3,8,12606.96,100855.68,5042.78,95812.9,38650.82
100081,20241106,155,10,24,10,19,4677.47,88871.93,0.0,88871.93,42724.0
100082,20240428,32,11,4,4,15,4866.69,73000.35,0.0,73000.35,31469.23
100083,20251026,160,12,4,3,10,1192.37,11923.7,0.0,11923.7,4699.96
100084,20231001,245,3,15,7,20,1648.77,32975.4,0.0,32975.4,16170.75
100085,20250822,276,11,7,6,8,4866.69,38933.52,3893.35,35040.17,16439.55
100086,20230617,270,8,17,10,12,8152.69,97832.28,0.0,97832.28,45280.08
100087,20230507,281,9,7,7,19,2112.21,40131.99,2006.6,38125.39,14598.5
100088,20251201,227,2,22,7,7,576.14,4032.98,403.3,3629.68,1625.25
100089,20251111,229,1,15,5,5,7004.72,35023.6,1751.18,33272.42,14685.11
100090,20230429,287,8,22,4,10,8152.69,81526.9,8152.69,73374.21,31491.46
100091,20230107,112,10,3,4,2,4677.47,9354.94,467.75,8887.19,4355.41
100092,20230504,36,8,2,10,10,8152.69,81526.9,4076.34,77450.56,39019.16
100093,20250510,192,7,15,1,13,11044.9,143583.7,0.0,143583.7,69860.09
100094,20230930,179,2,6,5,18,576.14,10370.52,0.0,10370.52,3893.81
100095,20240401,2,1,10,5,15,7004.72,105070.8,10507.08,94563.72,43394.26
100096,20251225,195,4,8,9,15,4210.9,63163.5,0.0,63163.5,25589.43
100097,20230820,17,11,14,8,20,4866.69,97333.8,9733.38,87600.42,46143.64
100098,20230202,124,4,3,10,4,4210.9,16843.6,842.18,16001.42,7029.24
100099,20230410,126,12,2,1,13,1192.37,15500.81,775.04,14725.77,6743.7
100100,20230426,72,9,10,1,8,2112.21,16897.68,1689.77,15207.91,7547.74
100101,20241015,296,10,25,8,11,4677.47,51452.17,0.0,51452.17,27025.34
100102,20251203,114,7,10,6,9,11044.9,99404.1,0.0,99404.1,53648.8
100103,20231225,219,9,16,9,2,2112.21,4224.42,844.88,3379.54,1819.26
100104,20250219,269,6,23,9,14,8457.66,118407.24,5920.36,112486.88,46117.11
100105,20240112,276,8,8,6,8,8152.69,65221.52,0.0,65221.52,32057.38
